  # op       name                                out     in@    out@     sv@     ent
------------------------------------------------------------------------------------------------
  0 STEM     features.0.0                 112x112x32       -       0       -   12544
  1 DW       features.1.conv.0.0          112x112x32       0   12544       -   12544
  2 PW       features.1.conv.1            112x112x16   12544       0       -   12544
  3 PW       features.2.conv.0.0          112x112x96       0   12544       -   37632
  4 DW       features.2.conv.1.0            56x56x96   12544       0       -    9408
  5 PW       features.2.conv.2              56x56x24       0    9408       -    3136
  6 PW       features.3.conv.0.0           56x56x144    9408   12544       -   15680
  7 DW       features.3.conv.1.0           56x56x144   12544   28224       -   15680
  8 PW       features.3.conv.2              56x56x24   28224       0       -    3136
  9 RES_ADD  features.3.add                 56x56x24       0    3136    9408    3136
 10 PW       features.4.conv.0.0           56x56x144    3136    6272       -   15680
 11 DW       features.4.conv.1.0           28x28x144    6272       0       -    3920
 12 PW       features.4.conv.2              28x28x32       0    3920       -     784
 13 PW       features.5.conv.0.0           28x28x192    3920    4704       -    4704
 14 DW       features.5.conv.1.0           28x28x192    4704    9408       -    4704
 15 PW       features.5.conv.2              28x28x32    9408       0       -     784
 16 RES_ADD  features.5.add                 28x28x32       0     784    3920     784
 17 PW       features.6.conv.0.0           28x28x192     784    1568       -    4704
 18 DW       features.6.conv.1.0           28x28x192    1568    6272       -    4704
 19 PW       features.6.conv.2              28x28x32    6272       0       -     784
 20 RES_ADD  features.6.add                 28x28x32       0    1568     784     784
 21 PW       features.7.conv.0.0           28x28x192    1568    2352       -    4704
 22 DW       features.7.conv.1.0           14x14x192    2352       0       -    1176
 23 PW       features.7.conv.2              14x14x64       0    1176       -     392
 24 PW       features.8.conv.0.0           14x14x384    1176    1568       -    2352
 25 DW       features.8.conv.1.0           14x14x384    1568    3920       -    2352
 26 PW       features.8.conv.2              14x14x64    3920       0       -     392
 27 RES_ADD  features.8.add                 14x14x64       0     392    1176     392
 28 PW       features.9.conv.0.0           14x14x384     392     784       -    2352
 29 DW       features.9.conv.1.0           14x14x384     784    3136       -    2352
 30 PW       features.9.conv.2              14x14x64    3136       0       -     392
 31 RES_ADD  features.9.add                 14x14x64       0     784     392     392
 32 PW       features.10.conv.0.0          14x14x384     784    1176       -    2352
 33 DW       features.10.conv.1.0          14x14x384    1176    3528       -    2352
 34 PW       features.10.conv.2             14x14x64    3528       0       -     392
 35 RES_ADD  features.10.add                14x14x64       0     392     784     392
 36 PW       features.11.conv.0.0          14x14x384     392     784       -    2352
 37 DW       features.11.conv.1.0          14x14x384     784    3136       -    2352
 38 PW       features.11.conv.2             14x14x96    3136       0       -     588
 39 PW       features.12.conv.0.0          14x14x576       0     588       -    3528
 40 DW       features.12.conv.1.0          14x14x576     588    4116       -    3528
 41 PW       features.12.conv.2             14x14x96    4116     588       -     588
 42 RES_ADD  features.12.add                14x14x96     588    1176       0     588
 43 PW       features.13.conv.0.0          14x14x576    1176    1764       -    3528
 44 DW       features.13.conv.1.0          14x14x576    1764    5292       -    3528
 45 PW       features.13.conv.2             14x14x96    5292       0       -     588
 46 RES_ADD  features.13.add                14x14x96       0     588    1176     588
 47 PW       features.14.conv.0.0          14x14x576     588    1176       -    3528
 48 DW       features.14.conv.1.0            7x7x576    1176       0       -     882
 49 PW       features.14.conv.2              7x7x160       0     882       -     245
 50 PW       features.15.conv.0.0            7x7x960     882    1127       -    1470
 51 DW       features.15.conv.1.0            7x7x960    1127    2597       -    1470
 52 PW       features.15.conv.2              7x7x160    2597       0       -     245
 53 RES_ADD  features.15.add                 7x7x160       0     245     882     245
 54 PW       features.16.conv.0.0            7x7x960     245     490       -    1470
 55 DW       features.16.conv.1.0            7x7x960     490    1960       -    1470
 56 PW       features.16.conv.2              7x7x160    1960       0       -     245
 57 RES_ADD  features.16.add                 7x7x160       0     490     245     245
 58 PW       features.17.conv.0.0            7x7x960     490     735       -    1470
 59 DW       features.17.conv.1.0            7x7x960     735    2205       -    1470
 60 PW       features.17.conv.2              7x7x320    2205       0       -     490
 61 PW       features.18.0                  7x7x1280       0     490       -    1960
 62 GAP      avgpool                        1x1x1280     490       0       -      40
 63 LINEAR   classifier.1                      1x1x4       0      40       -       1
